idx,anchor,purpose,url,slug,kind,status,http_status,chars,title,html_file,text_file,shot_file,accessed_at,error
1,Changi Airport Group – Trang doanh nghiệp,Định danh / định vị,https://www.changiairport.com/en/corporate.html,01_changi_airport_group_trang_doanh_nghi_p,html,ok,200,5462,Changi Airport Group,pages/01_changi_airport_group_trang_doanh_nghi_p.html,pages/01_changi_airport_group_trang_doanh_nghi_p.txt,pages/01_changi_airport_group_trang_doanh_nghi_p.png,2026-08-09T14:41:08.419606+00:00,
2,Changi – Fact Sheet sân bay,Số liệu headline (nguồn chuẩn),https://www.changiairport.com/en/corporate/our-media-hub/newsroom/2026/fact-sheet-changi-airport.html,02_changi_fact_sheet_s_n_bay,html,ok,200,9094,"Changi Airport Fact Sheet: History, Terminals & Key Statistics",pages/02_changi_fact_sheet_s_n_bay.html,pages/02_changi_fact_sheet_s_n_bay.txt,pages/02_changi_fact_sheet_s_n_bay.png,2026-08-09T14:41:19.971031+00:00,
3,Changi – Chỉ số vận hành 2025,KPI năm gần nhất,https://www.changiairport.com/en/corporate/our-media-hub/newsroom/2026/2025-operating-indicators.html,03_changi_ch_s_v_n_h_nh_2025,html,ok,200,9952,Changi Airport handled record traffic of close to 70 million passengers in 2025,pages/03_changi_ch_s_v_n_h_nh_2025.html,pages/03_changi_ch_s_v_n_h_nh_2025.txt,pages/03_changi_ch_s_v_n_h_nh_2025.png,2026-08-09T14:41:25.114273+00:00,
4,Changi – Traffic Statistics,Chuỗi số liệu / đối chiếu,https://www.changiairport.com/en/corporate/about-us/traffic-statistics.html,04_changi_traffic_statistics,html,ok,200,5499,Traffic Statistics & Data | Changi Airport Group,pages/04_changi_traffic_statistics.html,pages/04_changi_traffic_statistics.txt,pages/04_changi_traffic_statistics.png,2026-08-09T14:41:30.511845+00:00,
5,Changi – Our Story (lịch sử),Lịch sử phát triển,https://www.changiairport.com/en/corporate/about-us/the-changi-airport-story/our-story.html,05_changi_our_story_l_ch_s,html,ok,200,19248,Our Story | Changi Airport Group,pages/05_changi_our_story_l_ch_s.html,pages/05_changi_our_story_l_ch_s.txt,pages/05_changi_our_story_l_ch_s.png,2026-08-09T14:41:36.013013+00:00,
6,Changi – Future Developments,Quy hoạch tương lai / phân khu,https://www.changiairport.com/en/corporate/about-us/future-developments.html,06_changi_future_developments,html,ok,200,3484,Changi Airport’s Future Developments,pages/06_changi_future_developments.html,pages/06_changi_future_developments.txt,pages/06_changi_future_developments.png,2026-08-09T14:41:46.910784+00:00,
7,Changi – Fact Sheet Terminal 5,Đầu tư / công suất mở rộng,https://www.changiairport.com/en/corporate/our-media-hub/newsroom/2025/fact-sheet-changi-airport-terminal-5.html,07_changi_fact_sheet_terminal_5,html,ok,200,16066,"Changi Airport Terminal 5 Fact Sheet: Expected Completion, Key Features & Capacity | Media Releases",pages/07_changi_fact_sheet_terminal_5.html,pages/07_changi_fact_sheet_terminal_5.txt,pages/07_changi_fact_sheet_terminal_5.png,2026-08-09T14:41:51.456231+00:00,
8,Changi – Fact Sheet Jewel,Trải nghiệm / tiện ích điểm nhấn,https://www.changiairport.com/en/corporate/our-media-hub/newsroom/2026/jewel-changi-airport-fact-sheet.html,08_changi_fact_sheet_jewel,html,ok,200,15756,Media Fact Sheet: Jewel Changi Airport,pages/08_changi_fact_sheet_jewel.html,pages/08_changi_fact_sheet_jewel.txt,pages/08_changi_fact_sheet_jewel.png,2026-08-09T14:41:56.236890+00:00,
9,Wikipedia – Singapore Changi Airport,Đối chiếu KPI / hạ tầng,https://en.wikipedia.org/wiki/Singapore_Changi_Airport,09_wikipedia_singapore_changi_airport,html,ok,200,89624,Changi Airport - Wikipedia,pages/09_wikipedia_singapore_changi_airport.html,pages/09_wikipedia_singapore_changi_airport.txt,pages/09_wikipedia_singapore_changi_airport.png,2026-08-09T14:42:12.019836+00:00,
10,Wikipedia – Changi East,Quy mô mở rộng / phân khu,https://en.wikipedia.org/wiki/Changi_East,10_wikipedia_changi_east,html,ok,200,35916,Changi - Wikipedia,pages/10_wikipedia_changi_east.html,pages/10_wikipedia_changi_east.txt,pages/10_wikipedia_changi_east.png,2026-08-09T14:42:40.519238+00:00,
