idx,anchor,purpose,url,slug,kind,status,http_status,chars,title,html_file,text_file,shot_file,accessed_at,error
1,DFW – Airport Facts & Figures,Số liệu headline (nguồn chuẩn),https://www.dfwairport.com/business/about/facts/,01_dfw_airport_facts_figures,html,ok,200,22536,Airport Facts & Figures Overview | DFW Airport,pages/01_dfw_airport_facts_figures.html,pages/01_dfw_airport_facts_figures.txt,pages/01_dfw_airport_facts_figures.png,2026-08-09T14:53:11.112429+00:00,
2,DFW – Commercial Development,Quỹ đất phát triển / phân khu,https://www.dfwairport.com/business/opportunities/commercial-development/,02_dfw_commercial_development,html,ok,200,21687,Commercial Development | DFW International Airport,pages/02_dfw_commercial_development.html,pages/02_dfw_commercial_development.txt,pages/02_dfw_commercial_development.png,2026-08-09T14:53:19.343633+00:00,
3,DFW – Office & Retail,Sản phẩm BĐS thương mại / giá,https://www.dfwairport.com/business/opportunities/commercial-development/office-retail/,03_dfw_office_retail,html,ok,200,20589,Office/Retail | DFW International Airport,pages/03_dfw_office_retail.html,pages/03_dfw_office_retail.txt,pages/03_dfw_office_retail.png,2026-08-09T14:53:25.719271+00:00,
4,DFW – Logistics / Industrial / Flex,Logistics / công nghiệp,https://www.dfwairport.com/business/opportunities/commercial-development/logistics-industrial-flex/,04_dfw_logistics_industrial_flex,html,ok,200,21220,Logistics/Industrial/Flex | DFW International Airport,pages/04_dfw_logistics_industrial_flex.html,pages/04_dfw_logistics_industrial_flex.txt,pages/04_dfw_logistics_industrial_flex.png,2026-08-09T14:53:33.643913+00:00,
5,"DFW – Nghiên cứu tác động kinh tế 78,3 tỷ USD",Tác động kinh tế / việc làm,https://www.dfwairport.com/dfwnewsroom/study-dfw-airport-now-contributes-usd78-3-billion-annually-to-north-texas/,05_dfw_nghi_n_c_u_t_c_ng_kinh_t_78_3_t_usd,html,ok,200,26583,"Study: DFW Airport Now Contributes $78.3 Billion Annually to North Texas Economy, Supports 684,000 Jobs  | DFW International Airport",pages/05_dfw_nghi_n_c_u_t_c_ng_kinh_t_78_3_t_usd.html,pages/05_dfw_nghi_n_c_u_t_c_ng_kinh_t_78_3_t_usd.txt,pages/05_dfw_nghi_n_c_u_t_c_ng_kinh_t_78_3_t_usd.png,2026-08-09T14:53:42.590100+00:00,
6,DFW – Publications (báo cáo thường niên),Tài chính / chiến lược,https://www.dfwairport.com/business/about/publications/,06_dfw_publications_b_o_c_o_th_ng_ni_n,html,ok,200,23986,Publications | DFW International Airport,pages/06_dfw_publications_b_o_c_o_th_ng_ni_n.html,pages/06_dfw_publications_b_o_c_o_th_ng_ni_n.txt,pages/06_dfw_publications_b_o_c_o_th_ng_ni_n.png,2026-08-09T14:53:49.119244+00:00,
7,Wikipedia – Dallas Fort Worth International Airport,Đối chiếu KPI / hạ tầng / lịch sử,https://en.wikipedia.org/wiki/Dallas_Fort_Worth_International_Airport,07_wikipedia_dallas_fort_worth_international_airport,html,ok,200,112350,Dallas Fort Worth International Airport - Wikipedia,pages/07_wikipedia_dallas_fort_worth_international_airport.html,pages/07_wikipedia_dallas_fort_worth_international_airport.txt,pages/07_wikipedia_dallas_fort_worth_international_airport.png,2026-08-09T14:53:54.907519+00:00,
8,Wikipedia – DFW Airport station (DART),Thuận tiện / Rail,https://en.wikipedia.org/wiki/DFW_Airport_station,08_wikipedia_dfw_airport_station_dart,html,ok,200,2726,DFW Airport station - Wikipedia,pages/08_wikipedia_dfw_airport_station_dart.html,pages/08_wikipedia_dfw_airport_station_dart.txt,pages/08_wikipedia_dfw_airport_station_dart.png,2026-08-09T14:54:39.326571+00:00,
9,Wikipedia – TEXRail,Thuận tiện / Rail phía Fort Worth,https://en.wikipedia.org/wiki/TEXRail,09_wikipedia_texrail,html,ok,200,19044,TEXRail - Wikipedia,pages/09_wikipedia_texrail.html,pages/09_wikipedia_texrail.txt,pages/09_wikipedia_texrail.png,2026-08-09T14:54:41.825671+00:00,
10,Wikipedia – Dallas Area Rapid Transit,Mạng vận tải vùng,https://en.wikipedia.org/wiki/Dallas_Area_Rapid_Transit,10_wikipedia_dallas_area_rapid_transit,html,ok,200,53519,Dallas Area Rapid Transit - Wikipedia,pages/10_wikipedia_dallas_area_rapid_transit.html,pages/10_wikipedia_dallas_area_rapid_transit.txt,pages/10_wikipedia_dallas_area_rapid_transit.png,2026-08-09T14:54:44.951281+00:00,
11,"Wikipedia – Grapevine, Texas",Đô thị hậu phương / tiện ích,"https://en.wikipedia.org/wiki/Grapevine,_Texas",11_wikipedia_grapevine_texas,html,ok,200,39623,"Grapevine, Texas - Wikipedia",pages/11_wikipedia_grapevine_texas.html,pages/11_wikipedia_grapevine_texas.txt,pages/11_wikipedia_grapevine_texas.png,2026-08-09T14:54:50.659407+00:00,
12,Wikipedia – Las Colinas,Khu đô thị doanh nghiệp lân cận,https://en.wikipedia.org/wiki/Las_Colinas,12_wikipedia_las_colinas,html,ok,200,18736,"Las Colinas, Irving, Texas - Wikipedia",pages/12_wikipedia_las_colinas.html,pages/12_wikipedia_las_colinas.txt,pages/12_wikipedia_las_colinas.png,2026-08-09T14:54:54.623825+00:00,
