idx,anchor,purpose,url,slug,kind,status,http_status,chars,title,html_file,text_file,shot_file,accessed_at,error
1,Dubai South – Trang chủ chính thức,Định vị / tổng quan,https://www.dubaisouth.ae/en,01_dubai_south_trang_ch_ch_nh_th_c,html,ok,200,9637,"Dubai South | Free Zone, Logistics, Aviation & Lifestyle Hub in Dubai",pages/01_dubai_south_trang_ch_ch_nh_th_c.html,pages/01_dubai_south_trang_ch_ch_nh_th_c.txt,pages/01_dubai_south_trang_ch_ch_nh_th_c.png,2026-08-09T14:41:07.683459+00:00,
2,Dubai South – Work (tổng quan khu chức năng),Phân khu chức năng,https://www.dubaisouth.ae/en/work,02_dubai_south_work_t_ng_quan_khu_ch_c_n_ng,html,ok,200,4829,"Work in Dubai South | Free Zone, Logistics, Aviation & Commercial Property",pages/02_dubai_south_work_t_ng_quan_khu_ch_c_n_ng.html,pages/02_dubai_south_work_t_ng_quan_khu_ch_c_n_ng.txt,pages/02_dubai_south_work_t_ng_quan_khu_ch_c_n_ng.png,2026-08-09T14:41:22.687102+00:00,
3,Dubai South – Logistics District,Logistics / phân khu,https://www.dubaisouth.ae/en/work/logistics,03_dubai_south_logistics_district,html,ok,200,2641,Logistics Hub in Dubai | Warehousing & E-Commerce at Dubai South,pages/03_dubai_south_logistics_district.html,pages/03_dubai_south_logistics_district.txt,pages/03_dubai_south_logistics_district.png,2026-08-09T14:41:29.491213+00:00,
4,Dubai South – MBR Aerospace Hub,Phân khu hàng không / MRO,https://www.dubaisouth.ae/en/work/mbrah,04_dubai_south_mbr_aerospace_hub,html,ok,200,6372,"MBR Aerospace Hub | Aviation, MRO & Business Aviation in Dubai",pages/04_dubai_south_mbr_aerospace_hub.html,pages/04_dubai_south_mbr_aerospace_hub.txt,pages/04_dubai_south_mbr_aerospace_hub.png,2026-08-09T14:41:36.126875+00:00,
5,Dubai South – Free Zone,Đặc khu kinh tế / ưu đãi,https://www.dubaisouth.ae/en/work/freezone,05_dubai_south_free_zone,html,ok,200,3182,"Dubai South Free Zone | Business Setup, Visas & Licensing Services",pages/05_dubai_south_free_zone.html,pages/05_dubai_south_free_zone.txt,pages/05_dubai_south_free_zone.png,2026-08-09T14:41:43.962530+00:00,
6,Dubai South – Commercial Property,Sản phẩm BĐS thương mại / giá,https://www.dubaisouth.ae/en/work/commercial-property,06_dubai_south_commercial_property,html,ok,200,3309,"Commercial Property in Dubai South | Offices, Business Centres & Retail",pages/06_dubai_south_commercial_property.html,pages/06_dubai_south_commercial_property.txt,pages/06_dubai_south_commercial_property.png,2026-08-09T14:41:50.514344+00:00,
7,Dubai South – Live (khu dân cư),Sản phẩm nhà ở,https://www.dubaisouth.ae/en/live,07_dubai_south_live_khu_d_n_c,html,ok,200,8829,Live | Dubai South,pages/07_dubai_south_live_khu_d_n_c.html,pages/07_dubai_south_live_khu_d_n_c.txt,pages/07_dubai_south_live_khu_d_n_c.png,2026-08-09T14:41:57.163119+00:00,
8,Dubai South – Thrive (tiện ích & cộng đồng),Tiện ích / trải nghiệm,https://www.dubaisouth.ae/en/thrive,08_dubai_south_thrive_ti_n_ch_c_ng_ng,html,ok,200,2951,"Why Dubai South | Innovation, Sustainability & Smart Investment",pages/08_dubai_south_thrive_ti_n_ch_c_ng_ng.html,pages/08_dubai_south_thrive_ti_n_ch_c_ng_ng.txt,pages/08_dubai_south_thrive_ti_n_ch_c_ng_ng.png,2026-08-09T14:42:06.504099+00:00,
9,Dubai South – Ban lãnh đạo,Chủ đầu tư / quản trị,https://www.dubaisouth.ae/en/our-leadership,09_dubai_south_ban_l_nh_o,html,ok,200,4485,Our Leadership | Dubai South,pages/09_dubai_south_ban_l_nh_o.html,pages/09_dubai_south_ban_l_nh_o.txt,pages/09_dubai_south_ban_l_nh_o.png,2026-08-09T14:42:13.150110+00:00,
10,Dubai South – Business Setup,Dịch vụ nhà đầu tư,https://www.dubaisouth.ae/en/business-setup,10_dubai_south_business_setup,html,ok,200,1604,Business Setup in Dubai South | DWC LLC & Freelancer License,pages/10_dubai_south_business_setup.html,pages/10_dubai_south_business_setup.txt,pages/10_dubai_south_business_setup.png,2026-08-09T14:42:21.840068+00:00,
