idx,anchor,purpose,url,slug,kind,status,http_status,chars,title,html_file,text_file,shot_file,accessed_at,error
1,Fraport – Số liệu vận tải cả năm 2025,Số liệu headline (nguồn chuẩn),https://www.fraport.com/en/newsroom/press-releases/2026/traffic-figures/fraport-traffic-figures-2025.html,01_fraport_s_li_u_v_n_t_i_c_n_m_2025,html,ok,200,18120,Fraport Traffic Figures 2025: Broad Growth Across Airport Portfolio,pages/01_fraport_s_li_u_v_n_t_i_c_n_m_2025.html,pages/01_fraport_s_li_u_v_n_t_i_c_n_m_2025.txt,pages/01_fraport_s_li_u_v_n_t_i_c_n_m_2025.png,2026-08-09T14:54:28.435032+00:00,
2,Fraport – Traffic Figures (cổng số liệu),Chuỗi số liệu / đối chiếu,https://www.fraport.com/en/investors/traffic-figures.html,02_fraport_traffic_figures_c_ng_s_li_u,html,ok,200,12469,Traffic Figures,pages/02_fraport_traffic_figures_c_ng_s_li_u.html,pages/02_fraport_traffic_figures_c_ng_s_li_u.txt,pages/02_fraport_traffic_figures_c_ng_s_li_u.png,2026-08-09T14:54:34.992220+00:00,
3,Fraport – Real Estate & Energy,Sản phẩm BĐS / dịch vụ thuê,https://b2b.frankfurt-airport.com/en/real-estate-it-services/fraport-real-estate-energy.html,03_fraport_real_estate_energy,html,ok,200,5386,Fraport Real Estate & Energy,pages/03_fraport_real_estate_energy.html,pages/03_fraport_real_estate_energy.txt,pages/03_fraport_real_estate_energy.png,2026-08-09T14:54:50.809601+00:00,
4,Fraport – Our Track Record (danh mục BĐS),Quy mô danh mục / dự án tiêu biểu,https://www.fraport.com/en/business-areas/services/real-estate0/our-track-record.html,04_fraport_our_track_record_danh_m_c_b_s,html,ok,200,21457,Our Track Record,pages/04_fraport_our_track_record_danh_m_c_b_s.html,pages/04_fraport_our_track_record_danh_m_c_b_s.txt,pages/04_fraport_our_track_record_danh_m_c_b_s.png,2026-08-09T14:54:55.331828+00:00,
5,Gateway Gardens – Trang chính thức khu,Phân khu lõi văn phòng,https://www.gateway-gardens.de/en/,05_gateway_gardens_trang_ch_nh_th_c_khu,html,ok,200,9610,,pages/05_gateway_gardens_trang_ch_nh_th_c_khu.html,pages/05_gateway_gardens_trang_ch_nh_th_c_khu.txt,pages/05_gateway_gardens_trang_ch_nh_th_c_khu.png,2026-08-09T14:55:00.373791+00:00,
6,SkylineAtlas – Gateway Gardens,Quy mô / sản phẩm / doanh nghiệp thuê,https://www.skylineatlas.com/gateway-gardens/,06_skylineatlas_gateway_gardens,html,ok,200,9539,Gateway Gardens - Development Area in Frankfurt - Office District,pages/06_skylineatlas_gateway_gardens.html,pages/06_skylineatlas_gateway_gardens.txt,pages/06_skylineatlas_gateway_gardens.png,2026-08-09T14:55:12.531965+00:00,
8,Wikipedia – Frankfurt Airport,Đối chiếu KPI / hạ tầng / lịch sử,https://en.wikipedia.org/wiki/Frankfurt_Airport,08_wikipedia_frankfurt_airport,html,ok,200,117694,Frankfurt Airport - Wikipedia,pages/08_wikipedia_frankfurt_airport.html,pages/08_wikipedia_frankfurt_airport.txt,pages/08_wikipedia_frankfurt_airport.png,2026-08-09T14:55:24.776985+00:00,
9,Wikipedia – The Squaire,Công trình biểu tượng / BĐS,https://en.wikipedia.org/wiki/The_Squaire,09_wikipedia_the_squaire,html,ok,200,7262,The Squaire - Wikipedia,pages/09_wikipedia_the_squaire.html,pages/09_wikipedia_the_squaire.txt,pages/09_wikipedia_the_squaire.png,2026-08-09T14:56:19.417965+00:00,
10,Wikipedia – Frankfurt Airport long-distance station,Thuận tiện / Rail,https://en.wikipedia.org/wiki/Frankfurt_Airport_long-distance_station,10_wikipedia_frankfurt_airport_long_distance_station,html,ok,200,27064,Frankfurt Airport long-distance station - Wikipedia,pages/10_wikipedia_frankfurt_airport_long_distance_station.html,pages/10_wikipedia_frankfurt_airport_long_distance_station.txt,pages/10_wikipedia_frankfurt_airport_long_distance_station.png,2026-08-09T14:56:22.329752+00:00,
11,Wikipedia – Gateway Gardens station,Kết nối nội khu,https://en.wikipedia.org/wiki/Gateway_Gardens_station,11_wikipedia_gateway_gardens_station,html,ok,200,7818,Gateway Gardens station - Wikipedia,pages/11_wikipedia_gateway_gardens_station.html,pages/11_wikipedia_gateway_gardens_station.txt,pages/11_wikipedia_gateway_gardens_station.png,2026-08-09T14:56:25.289659+00:00,
12,Fraport – Sustainability,Bền vững,https://www.fraport.com/en/sustainability.html,12_fraport_sustainability,html,ok,200,16639,Sustainability,pages/12_fraport_sustainability.html,pages/12_fraport_sustainability.txt,pages/12_fraport_sustainability.png,2026-08-09T14:56:27.860450+00:00,
13,Wikipedia – Fraport,Chủ đầu tư / cơ cấu sở hữu,https://en.wikipedia.org/wiki/Fraport,13_wikipedia_fraport,html,ok,200,11247,Fraport - Wikipedia,pages/13_wikipedia_fraport.html,pages/13_wikipedia_fraport.txt,pages/13_wikipedia_fraport.png,2026-08-09T14:56:31.796295+00:00,
14,Wikipedia – Frankfurt Rhine-Main,Bối cảnh vùng đô thị,https://en.wikipedia.org/wiki/Frankfurt_Rhine-Main,14_wikipedia_frankfurt_rhine_main,html,ok,200,14754,Frankfurt Rhine-Main - Wikipedia,pages/14_wikipedia_frankfurt_rhine_main.html,pages/14_wikipedia_frankfurt_rhine_main.txt,pages/14_wikipedia_frankfurt_rhine_main.png,2026-08-09T14:56:34.796385+00:00,
15,Wikipedia – Frankfurter Kreuz,Kết nối đường bộ,https://en.wikipedia.org/wiki/Frankfurter_Kreuz,15_wikipedia_frankfurter_kreuz,html,ok,200,4375,Frankfurter Kreuz - Wikipedia,pages/15_wikipedia_frankfurter_kreuz.html,pages/15_wikipedia_frankfurter_kreuz.txt,pages/15_wikipedia_frankfurter_kreuz.png,2026-08-09T14:56:39.405095+00:00,
16,Wikipedia – Frankfurt-Flughafen (quận sân bay),Đơn vị hành chính chứa airport city,https://en.wikipedia.org/wiki/Flughafen_(Frankfurt_am_Main,16_wikipedia_frankfurt_flughafen_qu_n_s_n_bay,html,http_error,404,2372,Flughafen (Frankfurt am Main - Wikipedia,pages/16_wikipedia_frankfurt_flughafen_qu_n_s_n_bay.html,pages/16_wikipedia_frankfurt_flughafen_qu_n_s_n_bay.txt,pages/16_wikipedia_frankfurt_flughafen_qu_n_s_n_bay.png,2026-08-09T14:58:04.294935+00:00,HTTP 404
