idx,anchor,purpose,url,slug,kind,status,http_status,chars,title,html_file,text_file,shot_file,accessed_at,error
1,Incheon Airport – Development of a Complex City (Air City),Định vị / quy hoạch / phân khu,https://www.airport.kr/co_en/4389/subview.do,01_incheon_airport_development_of_a_complex_city_air_,html,ok,200,13306,Incheon International Airport Corporation > Key Businesses > Business Hub > Development of a Complex City > Overview,pages/01_incheon_airport_development_of_a_complex_city_air_.html,pages/01_incheon_airport_development_of_a_complex_city_air_.txt,pages/01_incheon_airport_development_of_a_complex_city_air_.png,2026-08-09T13:23:23.713580+00:00,
2,Incheon Airport – Business Hub / Airport Economic Zone,Mô hình Aerotropolis / cornerstones,https://www.airport.kr/co_en/4387/subview.do,02_incheon_airport_business_hub_airport_economic_zone,html,ok,200,8197,Incheon International Airport Corporation > Key Businesses > Business Hub > Airport Economic Zone > OverView,pages/02_incheon_airport_business_hub_airport_economic_zone.html,pages/02_incheon_airport_business_hub_airport_economic_zone.txt,pages/02_incheon_airport_business_hub_airport_economic_zone.png,2026-08-09T13:23:39.276443+00:00,
3,Incheon Airport – At a Glance,Số liệu headline (nguồn chuẩn),https://www.airport.kr/co_en/4189/subview.do,03_incheon_airport_at_a_glance,html,ok,200,5356,Incheon International Airport Corporation > About the Corporation > General Overview > Incheon Airport at a Glance > Incheon Airport in Numbers,pages/03_incheon_airport_at_a_glance.html,pages/03_incheon_airport_at_a_glance.txt,pages/03_incheon_airport_at_a_glance.png,2026-08-09T13:23:44.060357+00:00,
4,Incheon Airport – Aviation Statistics,Số liệu chi tiết / chuỗi thời gian,https://www.airport.kr/co_en/4272/subview.do,04_incheon_airport_aviation_statistics,html,ok,200,5863,Incheon International Airport Corporation > Customer Communication > Aviation Statistics > View Incheon Airport Statistics > Time Series Statistics,pages/04_incheon_airport_aviation_statistics.html,pages/04_incheon_airport_aviation_statistics.txt,pages/04_incheon_airport_aviation_statistics.png,2026-08-09T13:23:49.151560+00:00,
5,Incheon Airport – Vision,Tầm nhìn / định hướng,https://www.airport.kr/co_en/4183/subview.do,05_incheon_airport_vision,html,ok,200,5753,Incheon International Airport Corporation > About the Corporation > General Overview > Vision,pages/05_incheon_airport_vision.html,pages/05_incheon_airport_vision.txt,pages/05_incheon_airport_vision.png,2026-08-09T13:23:53.673803+00:00,
6,Incheon Airport – History,Lịch sử phát triển,https://www.airport.kr/co_en/4184/subview.do,06_incheon_airport_history,html,ok,200,6787,Incheon International Airport Corporation > About the Corporation > General Overview > History,pages/06_incheon_airport_history.html,pages/06_incheon_airport_history.txt,pages/06_incheon_airport_history.png,2026-08-09T13:23:57.323767+00:00,
7,Incheon Airport – Logistics / Free Trade Area,Logistics / khu phi thuế / phân khu,https://www.airport.kr/co_en/4333/subview.do,07_incheon_airport_logistics_free_trade_area,html,ok,200,11127,Incheon International Airport Corporation > Key Businesses > Logistics Services > Introduction,pages/07_incheon_airport_logistics_free_trade_area.html,pages/07_incheon_airport_logistics_free_trade_area.txt,pages/07_incheon_airport_logistics_free_trade_area.png,2026-08-09T13:24:03.151405+00:00,
8,Incheon Airport – ESG Management,Bền vững,https://www.airport.kr/co_en/4211/subview.do,08_incheon_airport_esg_management,html,ok,200,10044,Incheon International Airport Corporation > ESG Management > ESG Management > Incheon Airport’s ESG,pages/08_incheon_airport_esg_management.html,pages/08_incheon_airport_esg_management.txt,pages/08_incheon_airport_esg_management.png,2026-08-09T13:24:07.797700+00:00,
10,IFEZ – Why IFEZ (lợi thế cạnh tranh),Vị trí / thuận tiện / CVP,https://www.ifez.go.kr/world/content/view.do?sn=484,10_ifez_why_ifez_l_i_th_c_nh_tranh,html,ok,200,6386,IFEZ - IFEZ Concept,pages/10_ifez_why_ifez_l_i_th_c_nh_tranh.html,pages/10_ifez_why_ifez_l_i_th_c_nh_tranh.txt,pages/10_ifez_why_ifez_l_i_th_c_nh_tranh.png,2026-08-09T13:25:13.983219+00:00,
11,IFEZ – About Us / Authority,Chủ đầu tư / quản trị / thương hiệu,https://www.ifez.go.kr/world/content/view.do?sn=616,11_ifez_about_us_authority,html,ok,200,5705,IFEZ - Greetings,pages/11_ifez_about_us_authority.html,pages/11_ifez_about_us_authority.txt,pages/11_ifez_about_us_authority.png,2026-08-09T13:25:19.905288+00:00,
