idx,anchor,purpose,url,slug,kind,status,http_status,chars,title,html_file,text_file,shot_file,accessed_at,error
1,Overview – Shanghai Hongqiao Intl CBD (official),"Lấy tổng quan chính thức: diện tích 151,4 km², mô hình quy hoạch ""1+4"", định vị 4 phân khu và website chính thức của khu.",https://en.shhqcbd.gov.cn/overview.html,01_overview_shanghai_hongqiao_intl_cbd_official,html,ok,200,3678,Overview,pages/01_overview_shanghai_hongqiao_intl_cbd_official.html,pages/01_overview_shanghai_hongqiao_intl_cbd_official.txt,,2026-08-19T09:20:26.584964+00:00,
2,Overview of Shanghai Hongqiao International CBD,"Lấy diện tích chi tiết từng phân khu (Nam/Đông/Tây/Bắc Hongqiao), định vị thương mại – hội chợ và vai trò hub giao thông tổng hợp.",http://en.shhqcbd.gov.cn/2024-05/24/c_990100.htm,02_overview_of_shanghai_hongqiao_international_cbd,html,ok,200,3659,Overview of Shanghai Hongqiao International Central Business District,pages/02_overview_of_shanghai_hongqiao_international_cbd.html,pages/02_overview_of_shanghai_hongqiao_international_cbd.txt,,2026-08-19T09:20:33.308213+00:00,
3,Development plan for Hongqiao Intl CBD and surrounding areas,"Lấy quy hoạch tổng thể mới (535 km², ""một lõi – hai trục – bốn khu – năm vành đai xanh""), mục tiêu 2035 và chỉ tiêu tiếp cận metro 600 m.",http://en.shhqcbd.gov.cn/2025-09/12/c_1125212.htm,03_development_plan_for_hongqiao_intl_cbd_and_surroun,html,ok,200,5899,Shanghai unveils development plan for Hongqiao Intl CBD and surrounding areas,pages/03_development_plan_for_hongqiao_intl_cbd_and_surroun.html,pages/03_development_plan_for_hongqiao_intl_cbd_and_surroun.txt,,2026-08-19T09:20:40.425031+00:00,
4,Hongqiao transportation hub becomes the world's busiest,"Lấy số liệu kết nối đa phương thức: 422 triệu lượt khách qua hub, 50 triệu khách sân bay 2025, 155 triệu khách ga HSR, mạng lưới HSR 6 hướng.",https://en.shhqcbd.gov.cn/2026-03/19/c_1170683.htm,04_hongqiao_transportation_hub_becomes_the_world_s_bu,html,ok,200,3266,Hongqiao transportation hub becomes the world's busiest,pages/04_hongqiao_transportation_hub_becomes_the_world_s_bu.html,pages/04_hongqiao_transportation_hub_becomes_the_world_s_bu.txt,,2026-08-19T09:20:52.774380+00:00,
5,Hongqiao Intl CBD economic performance 2025,"Lấy số doanh nghiệp (283 trụ sở cấp thành phố, >7.000 DN kinh tế số), kim ngạch ngoại thương và vốn FDI thực hiện của khu.",http://en.shhqcbd.gov.cn/2026-02/09/c_1160377.htm,05_hongqiao_intl_cbd_economic_performance_2025,html,ok,200,4051,Shanghai's Hongqiao Intl CBD reports robust economic growth in 2025,pages/05_hongqiao_intl_cbd_economic_performance_2025.html,pages/05_hongqiao_intl_cbd_economic_performance_2025.txt,,2026-08-19T09:20:56.632403+00:00,
6,New Hongqiao Pinhui building set for operation,"Lấy dữ liệu khu thương mại chuyên biệt Hongqiao Pinhui (Trung tâm trưng bày & giao dịch hàng nhập khẩu): diện tích 130.000 m², chức năng, thời điểm vận hành.",http://en.shhqcbd.gov.cn/2024-11/04/c_1043634.htm,06_new_hongqiao_pinhui_building_set_for_operation,html,ok,200,3584,New Hongqiao Pinhui building set for operation,pages/06_new_hongqiao_pinhui_building_set_for_operation.html,pages/06_new_hongqiao_pinhui_building_set_for_operation.txt,,2026-08-19T09:20:59.490527+00:00,
7,Shanghai Airport Authority – record passenger & cargo volumes,"Lấy số liệu chính thức từ nhà khai thác sân bay: Hongqiao vượt 50 triệu khách 2025, tổng hàng hóa và cất/hạ cánh của hệ thống sân bay Thượng Hải.",https://www.shanghaiairport.com/ensh/xwg/info_itemid_43826.html,07_shanghai_airport_authority_record_passenger_cargo_,html,ok,200,5421,Shanghai Airport (Group) Co Ltd,pages/07_shanghai_airport_authority_record_passenger_cargo_.html,pages/07_shanghai_airport_authority_record_passenger_cargo_.txt,,2026-08-19T09:21:03.566263+00:00,
8,Shanghai Government – Hongqiao International CBD (National Development Zone),"Lấy dữ liệu chính quyền thành phố: 86 km² lõi + 64,8 km² mở rộng, diện tích và ngành trọng điểm của từng phân khu.",https://english.shanghai.gov.cn/en-NationalDevelopmentZone/20231211/ecf9d8dc8b544a29af71c9c5bb858676.html,08_shanghai_government_hongqiao_international_cbd_nat,html,ok,200,7112,Hongqiao International Central Business District,pages/08_shanghai_government_hongqiao_international_cbd_nat.html,pages/08_shanghai_government_hongqiao_international_cbd_nat.txt,,2026-08-19T09:21:25.256085+00:00,
9,Invest Shanghai – Hongqiao Central Business District policies,"Lấy chính sách ưu đãi và cơ chế giá/hỗ trợ: quỹ phát triển 2 tỷ RMB, trợ giá thuê văn phòng 3 năm, trợ cấp trụ sở, ngành khuyến khích.",https://www.investsh.org.cn/invest/policy/en/view/D3EFFB73-594E-4D3C-B4F2-FFD553A4365E,09_invest_shanghai_hongqiao_central_business_district,html,ok,200,9226,Invest Shanghai,pages/09_invest_shanghai_hongqiao_central_business_district.html,pages/09_invest_shanghai_hongqiao_central_business_district.txt,,2026-08-19T09:22:08.779237+00:00,
10,Urban planning in Hongqiao CBD puts sustainability front and center,"Lấy dữ liệu bền vững & thành phố thông minh: giảm 58% phát thải, 13 dự án/2,12 triệu m² đạt LEED, hệ thống cấp nhiệt–lạnh–điện tập trung, 24 hầm đi bộ và 13 cầu trên cao.",https://english.shanghai.gov.cn/en-ForumHighlights/20250529/4c7a3882ef034784ba78bc797b216059.html,10_urban_planning_in_hongqiao_cbd_puts_sustainability,html,ok,200,11422,Urban planning in Shanghai's Hongqiao CBD puts sustainability front and center_Forum Highlights,pages/10_urban_planning_in_hongqiao_cbd_puts_sustainability.html,pages/10_urban_planning_in_hongqiao_cbd_puts_sustainability.txt,,2026-08-19T09:22:22.020728+00:00,
