idx,anchor,purpose,url,slug,kind,status,http_status,chars,title,html_file,text_file,shot_file,accessed_at,error
1,NSW Gov – Investing in the Western Sydney Aerotropolis,Quy mô / đầu tư / việc làm,https://www.nsw.gov.au/departments-and-agencies/bradfield-development-authority/our-projects/investing-western-sydney-aerotropolis,01_nsw_gov_investing_in_the_western_sydney_aerotropol,html,ok,200,11606,Investing in the Western Sydney Aerotropolis | NSW Government,pages/01_nsw_gov_investing_in_the_western_sydney_aerotropol.html,pages/01_nsw_gov_investing_in_the_western_sydney_aerotropol.txt,pages/01_nsw_gov_investing_in_the_western_sydney_aerotropol.png,2026-08-09T13:23:53.360047+00:00,
2,NSW Planning – Western Sydney Aerotropolis (trang chính),Quy hoạch / phân khu / văn bản pháp lý,https://www.planning.nsw.gov.au/plans-for-your-area/priority-growth-areas-and-precincts/western-sydney-aerotropolis,02_nsw_planning_western_sydney_aerotropolis_trang_ch_,html,ok,200,3074,Western Sydney Aerotropolis | Planning,pages/02_nsw_planning_western_sydney_aerotropolis_trang_ch_.html,pages/02_nsw_planning_western_sydney_aerotropolis_trang_ch_.txt,pages/02_nsw_planning_western_sydney_aerotropolis_trang_ch_.png,2026-08-09T13:24:00.800377+00:00,
3,NSW Planning – Aerotropolis explained,Định vị / phân khu,https://www.planning.nsw.gov.au/plans-for-your-area/priority-growth-areas-and-precincts/western-sydney-aerotropolis/western-sydney-aerotropolis-explained,03_nsw_planning_aerotropolis_explained,html,ok,200,3168,Western Sydney Aerotropolis explained | Planning,pages/03_nsw_planning_aerotropolis_explained.html,pages/03_nsw_planning_aerotropolis_explained.txt,pages/03_nsw_planning_aerotropolis_explained.png,2026-08-09T13:24:06.958979+00:00,
4,NSW Planning – Khung pháp lý quy hoạch Aerotropolis,Công cụ quy hoạch / kiểm soát sử dụng đất,https://www.planning.nsw.gov.au/plans-for-your-area/priority-growth-areas-and-precincts/western-sydney-aerotropolis/the-planning-framework-for-the-aerotropolis,04_nsw_planning_khung_ph_p_l_quy_ho_ch_aerotropolis,html,ok,200,8497,The planning framework for the Aerotropolis | Planning,pages/04_nsw_planning_khung_ph_p_l_quy_ho_ch_aerotropolis.html,pages/04_nsw_planning_khung_ph_p_l_quy_ho_ch_aerotropolis.txt,pages/04_nsw_planning_khung_ph_p_l_quy_ho_ch_aerotropolis.png,2026-08-09T13:24:10.821035+00:00,
5,NSW Gov – Delivering Bradfield City,Lõi đô thị / sản phẩm / tiến độ,https://www.nsw.gov.au/about-nsw/precinct-development/delivering-bradfield-city,05_nsw_gov_delivering_bradfield_city,html,ok,200,11393,Delivering Bradfield City | NSW Government,pages/05_nsw_gov_delivering_bradfield_city.html,pages/05_nsw_gov_delivering_bradfield_city.txt,pages/05_nsw_gov_delivering_bradfield_city.png,2026-08-09T13:24:14.394216+00:00,
6,Bradfield City – What is Bradfield City,Định vị / tiện ích / thuận tiện,https://bradfield.city/what-bradfield-city,06_bradfield_city_what_is_bradfield_city,html,ok,200,10295,What is Bradfield City? | Bradfield City,pages/06_bradfield_city_what_is_bradfield_city.html,pages/06_bradfield_city_what_is_bradfield_city.txt,pages/06_bradfield_city_what_is_bradfield_city.png,2026-08-09T13:24:26.901485+00:00,
7,Bradfield City – Trang chính,Phân khu / sản phẩm BĐS,https://bradfield.city/,07_bradfield_city_trang_ch_nh,html,ok,200,12339,Bradfield City,pages/07_bradfield_city_trang_ch_nh.html,pages/07_bradfield_city_trang_ch_nh.txt,pages/07_bradfield_city_trang_ch_nh.png,2026-08-09T13:24:33.480343+00:00,
8,Bradfield Development Authority – About us,Chủ đầu tư / quản trị / thương hiệu,https://www.nsw.gov.au/departments-and-agencies/bradfield-development-authority/about-us,08_bradfield_development_authority_about_us,html,ok,200,9224,About the Bradfield Development Authority | NSW Government,pages/08_bradfield_development_authority_about_us.html,pages/08_bradfield_development_authority_about_us.txt,pages/08_bradfield_development_authority_about_us.png,2026-08-09T13:24:44.446531+00:00,
10,Thủ tướng Úc – Ngày mở cửa chính thức WSI,Mốc vận hành / tác động kinh tế,https://www.pm.gov.au/media/its-official-western-sydney-open-passengers-25-october-and-freight-26-july-2026,10_th_t_ng_c_ng_y_m_c_a_ch_nh_th_c_wsi,html,ok,200,6539,It’s official – Western Sydney to open to passengers on 25 October and freight on 26 July 2026 | Prime Minister of Australia,pages/10_th_t_ng_c_ng_y_m_c_a_ch_nh_th_c_wsi.html,pages/10_th_t_ng_c_ng_y_m_c_a_ch_nh_th_c_wsi.txt,pages/10_th_t_ng_c_ng_y_m_c_a_ch_nh_th_c_wsi.png,2026-08-09T13:24:53.337965+00:00,
11,Wikipedia – Western Sydney Airport,KPI sân bay / hạ tầng,https://en.wikipedia.org/wiki/Western_Sydney_Airport,11_wikipedia_western_sydney_airport,html,ok,200,51840,Western Sydney Airport - Wikipedia,pages/11_wikipedia_western_sydney_airport.html,pages/11_wikipedia_western_sydney_airport.txt,pages/11_wikipedia_western_sydney_airport.png,2026-08-09T13:24:57.932701+00:00,
12,Sydney Metro – Western Sydney Airport line (tổng quan),Thuận tiện / Rail,https://www.sydneymetro.info/westernsydneyairportline,12_sydney_metro_western_sydney_airport_line_t_ng_quan,html,ok,200,14150,Western Sydney Airport project overview | Sydney Metro,pages/12_sydney_metro_western_sydney_airport_line_t_ng_quan.html,pages/12_sydney_metro_western_sydney_airport_line_t_ng_quan.txt,pages/12_sydney_metro_western_sydney_airport_line_t_ng_quan.png,2026-08-09T13:25:03.224630+00:00,
13,Wikipedia – Sydney Metro Western Sydney Airport,Đối chiếu hạ tầng đường sắt,https://en.wikipedia.org/wiki/Sydney_Metro_Western_Sydney_Airport,13_wikipedia_sydney_metro_western_sydney_airport,html,ok,200,22037,Sydney Metro Western Sydney Airport - Wikipedia,pages/13_wikipedia_sydney_metro_western_sydney_airport.html,pages/13_wikipedia_sydney_metro_western_sydney_airport.txt,pages/13_wikipedia_sydney_metro_western_sydney_airport.png,2026-08-09T13:25:13.939538+00:00,
14,NSW Legislation – SEPP (Precincts – Western Parkland City) 2021,Văn bản pháp lý gốc,https://legislation.nsw.gov.au/view/html/inforce/current/epi-2021-0728,14_nsw_legislation_sepp_precincts_western_parkland_ci,html,ok,200,46890,State Environmental Planning Policy (Precincts—Western Parkland City) 2021 - NSW Legislation,pages/14_nsw_legislation_sepp_precincts_western_parkland_ci.html,pages/14_nsw_legislation_sepp_precincts_western_parkland_ci.txt,pages/14_nsw_legislation_sepp_precincts_western_parkland_ci.png,2026-08-09T13:25:17.609484+00:00,
15,Investment NSW – Western Sydney Aerotropolis,Xúc tiến đầu tư / ngành mục tiêu,https://www.investment.nsw.gov.au/innovation/precincts/western-sydney-aerotropolis/,15_investment_nsw_western_sydney_aerotropolis,html,ok,200,3074,Western Sydney Aerotropolis | Planning,pages/15_investment_nsw_western_sydney_aerotropolis.html,pages/15_investment_nsw_western_sydney_aerotropolis.txt,pages/15_investment_nsw_western_sydney_aerotropolis.png,2026-08-09T13:25:28.816715+00:00,
16,Bradfield Development Authority – Danh mục dự án,Danh mục dự án đang triển khai,https://www.nsw.gov.au/departments-and-agencies/bradfield-development-authority/our-projects,16_bradfield_development_authority_danh_m_c_d_n,html,ok,200,8531,Bradfield Development Authority projects | NSW Government,pages/16_bradfield_development_authority_danh_m_c_d_n.html,pages/16_bradfield_development_authority_danh_m_c_d_n.txt,pages/16_bradfield_development_authority_danh_m_c_d_n.png,2026-08-09T13:25:34.791848+00:00,
17,"NSW Planning – Western Sydney Aerotropolis Precinct Plan (PDF, 7/2025)",Quy hoạch chi tiết (văn bản gốc),https://shared-drupal-s3fs.s3.ap-southeast-2.amazonaws.com/master-test/s3fs-public/dpe-public/documents/NSW%2BPlanning%2BPortal%2Bexhibitions%2B/IPG/1.+Final+documents/Western+Sydney+Aerotropolis+Precinct+Plan+July+2025.pdf,17_nsw_planning_western_sydney_aerotropolis_precinct_,pdf,ok,200,113138,,pages/17_nsw_planning_western_sydney_aerotropolis_precinct_.pdf,pages/17_nsw_planning_western_sydney_aerotropolis_precinct_.txt,,2026-08-09T13:25:41.176174+00:00,
