| #      | Nguồn                                                                                                                                                                                           | Dùng để lấy thông tin gì?                                                                                                    |
| ------ | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------- |
| **1**  | [Schiphol Group – Business Model / AirportCity Formula](https://www.schiphol.nl/en/schiphol-group/business-model/?utm_source=chatgpt.com)                                                       | **Định nghĩa AirportCity**, 3 trụ cột Aviation – Consumer Products & Services – Real Estate; mô hình kinh doanh              |
| **2**  | [Schiphol Real Estate – About Us](https://www.schiphol.nl/en/real-estate/about-us/?utm_source=chatgpt.com)                                                                                      | **450+ companies, 35 business buildings/offices**, vai trò của Schiphol Real Estate, phát triển khu vực                      |
| **3**  | [Schiphol Business District](https://www.schiphol.nl/en/real-estate/schiphol-business-district/?utm_source=chatgpt.com)                                                                         | **CBD, office, WTC, The Base, The Outlook, hotel, meeting, retail, services**, kết nối giao thông                            |
| **4**  | [Amsterdam Airport Schiphol – Facts & Figures 2025](https://www.schiphol.nl/en/aviation-partnerships/amsterdam-airport-schiphol-airport-facts/?utm_source=chatgpt.com)                          | **66,8 triệu passenger; 473.815 movements; 1,49 triệu tấn cargo; 301 destinations; 120 airlines; 36,3% transfer passengers** |
| **5**  | [Schiphol – Airport Facts](https://www.schiphol.nl/en/you-and-schiphol/facts-about-airport/?utm_source=chatgpt.com)                                                                             | **Diện tích sân bay 2.787 ha; khoảng 68.000 người làm việc; khoảng 800 companies; Mainport; lịch sử; runway; cargo**         |
| **6**  | [Schiphol Real Estate – Total Offering / Central Business District](https://www.schiphol.nl/en/real-estate/total-offering/?locality=schiphol-central-business-disctrict&utm_source=chatgpt.com) | **Diện tích từng tòa nhà văn phòng**, LFA, giá thuê, các dự án hiện hữu                                                      |
| **7**  | [Schiphol Real Estate – Office Portfolio](https://www.schiphol.nl/en/real-estate/total-offering/?property=office-space&utm_source=chatgpt.com)                                                  | Office stock theo từng khu vực: **Central Business District, Schiphol East, Schiphol Southeast...**                          |
| **8**  | [Schiphol Real Estate – Facilities](https://www.schiphol.nl/en/real-estate/facilities/?utm_source=chatgpt.com)                                                                                  | **Retail, F&B, meeting, childcare, sports, services**, tiện ích đô thị                                                       |
| **9**  | [Schiphol Group – Business Areas](https://www.schiphol.nl/en/schiphol-group/business-areas/?utm_source=chatgpt.com)                                                                             | **Logistics, cargo, office, real estate, commercial activities**, hệ sinh thái kinh tế                                       |
| **10** | [Avioport – Schiphol Business District](https://www.schiphol.nl/en/real-estate/properties/avioport/?utm_source=chatgpt.com)                                                                     | Một case cụ thể về **office + retail + childcare + restaurant + gym + meeting + multimodal accessibility**                   |
| #      | Website / nguồn                                                                                                                                                     | Tiêu chí trong benchmark                      | Có thể lấy dữ liệu gì?                                                                               | Mức độ ưu tiên |
| ------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------- | ---------------------------------------------------------------------------------------------------- | -------------- |
| **1**  | [Schiphol Group – AirportCity Formula](https://www.schiphol.nl/en/schiphol-group/business-model/?utm_source=chatgpt.com)                                            | **Mô hình Aerotropolis / AirportCity**        | AirportCity concept; Aviation; Consumer Products & Services; Real Estate; 24h economy; revenue model | ⭐⭐⭐⭐⭐          |
| **2**  | [Schiphol Group – Annual Reports](https://www.schiphol.nl/en/schiphol-group/annual-reports/?utm_source=chatgpt.com)                                                 | **Quy mô / đầu tư / tài chính / chiến lược**  | Passenger, cargo, destinations, revenue, investment, employees, real estate, sustainability          | ⭐⭐⭐⭐⭐          |
| **3**  | [Schiphol Group – Facts & Figures](https://www.schiphol.nl/en/schiphol-group/facts-and-figures/?utm_source=chatgpt.com)                                             | **Số liệu tổng quan**                         | Các KPI hàng năm, passenger, cargo, aircraft movements, destinations...                              | ⭐⭐⭐⭐⭐          |
| **4**  | [Schiphol Group – Vision 2050](https://www.schiphol.nl/en/schiphol-group/strategic-qualities/?utm_source=chatgpt.com)                                               | **Tầm nhìn / định hướng**                     | Vision 2050, Quality of Network, Life, Work, Service, sustainability                                 | ⭐⭐⭐⭐⭐          |
| **5**  | [Schiphol Group – Strategy](https://www.schiphol.nl/en/schiphol-group/strategy?utm_source=chatgpt.com)                                                              | **Bối cảnh & chiến lược**                     | Connectivity, economic role, environment, Aviation Policy 2020–2050                                  | ⭐⭐⭐⭐⭐          |
| **6**  | [Schiphol Real Estate – About Us](https://www.schiphol.nl/en/real-estate/about-us/?utm_source=chatgpt.com)                                                          | **Chủ đầu tư / quản trị / BĐS**               | >450 companies, 35 buildings/offices, ownership, area director, leasing, property management         | ⭐⭐⭐⭐⭐          |
| **7**  | [Schiphol Business District](https://www.schiphol.nl/en/real-estate/schiphol-business-district/?utm_source=chatgpt.com)                                             | **Quy hoạch / CBD / sản phẩm / connectivity** | CBD, office, WTC, The Base, The Outlook, accessibility, tenants, services                            | ⭐⭐⭐⭐⭐          |
| **8**  | [Schiphol Real Estate – Property Offering](https://www.schiphol.nl/en/real-estate/total-offering/?property=office-space&utm_source=chatgpt.com)                     | **Giá / diện tích / sản phẩm**                | Giá thuê €/m²/năm, diện tích office, loại hình BĐS, availability                                     | ⭐⭐⭐⭐⭐          |
| **9**  | [Schiphol Real Estate – Facilities](https://www.schiphol.nl/en/real-estate/facilities/?utm_source=chatgpt.com)                                                      | **Dịch vụ / trải nghiệm**                     | Hotel, F&B, retail, childcare, gym, coworking, meeting, supermarket, leisure                         | ⭐⭐⭐⭐⭐          |
| **10** | [Schiphol Real Estate – Schiphol East](https://www.schiphol.nl/en/real-estate/schiphol-oost/?utm_source=chatgpt.com)                                                | **Phân khu / sản phẩm**                       | Office, General Aviation, hotels, business park, facilities                                          | ⭐⭐⭐⭐           |
| **11** | [Schiphol Real Estate – Parcels Schiphol East](https://www.schiphol.nl/en/real-estate/properties/parcels-at-schiphol-oost/?utm_source=chatgpt.com)                  | **Quy hoạch đất / phát triển mới**            | Plot 3.000–18.000 m², developer, facilities, road/rail/accessibility                                 | ⭐⭐⭐⭐           |
| **12** | [SADC – Schiphol Logistics Park](https://www.sadc.nl/locaties/schiphol-logistics-park/?utm_source=chatgpt.com)                                                      | **Logistics / phân khu**                      | ~43 ha, 3 zones, logistics, parking, park management                                                 | ⭐⭐⭐⭐⭐          |
| **13** | [SADC – Schiphol Logistics Park Facts & Figures](https://www.sadc.nl/locaties/schiphol-logistics-park/facts-figures/?utm_source=chatgpt.com)                        | **Quy mô / connectivity**                     | 43 ha, A4/A5/A9/N201, bus, Hoofddorp, air-road connectivity, fibre                                   | ⭐⭐⭐⭐⭐          |
| **14** | [SADC – Schiphol Trade Park](https://www.sadc.nl/were-hard-at-work-at-schiphol-trade-park/?utm_source=chatgpt.com)                                                  | **Aerotropolis mở rộng / quy hoạch vùng**     | ~350 ha, phases, business park, logistics, area development                                          | ⭐⭐⭐⭐⭐          |
| **15** | [SADC – Schiphol Trade Park Sustainability](https://www.sadc.nl/schiphol-trade-park-the-worlds-most-sustainable-logistic-business-park/?utm_source=chatgpt.com)     | **Sustainability**                            | BREEAM, circularity, energy, sustainable logistics park                                              | ⭐⭐⭐⭐           |
| **16** | [MRA – Metropoolregio Amsterdam](https://www.metropoolregioamsterdam.nl/?utm_source=chatgpt.com)                                                                    | **Quy hoạch cấp vùng / Aerotropolis**         | Amsterdam–Schiphol–Hoofddorp corridor, regional economy, spatial development                         | ⭐⭐⭐⭐⭐          |
| **17** | [MRA – Strategic Key Areas](https://www.metropoolregioamsterdam.nl/wp-content/uploads/2020/06/Strategische-notitie-sleutelgebieden.pdf?utm_source=chatgpt.com)      | **Định vị vùng**                              | Schiphol–Amsterdam–Hoofddorp, international gateway, business locations                              | ⭐⭐⭐⭐⭐          |
| **18** | [Haarlemmermeer Municipality](https://haarlemmermeergemeente.nl/?utm_source=chatgpt.com)                                                                            | **Quy hoạch đô thị**                          | Land use, population, housing, economy, mobility, Schiphol relationship                              | ⭐⭐⭐⭐           |
| **19** | [Haarlemmermeer – Environmental Vision](https://haarlemmermeergemeente.nl/informeer-online/ontwerp-omgevingsvisie-is-toekomstbeeld-gemeente?utm_source=chatgpt.com) | **Quy hoạch / tầm nhìn**                      | Spatial planning, urban growth, economy, landscape, mobility                                         | ⭐⭐⭐⭐           |
| **20** | [NS – Travel to Schiphol](https://www.ns.nl/en/travel/destinations/schiphol?utm_source=chatgpt.com)                                                                 | **Thuận tiện / Rail**                         | Amsterdam, Utrecht, Rotterdam, The Hague, Leiden; frequency; travel time                             | ⭐⭐⭐⭐⭐          |
| **21** | [NS – International airport connections](https://www.ns.nl/en/travel/destinations/taking-the-train-to-the-airport?utm_source=chatgpt.com)                           | **International connectivity**                | Amsterdam, Brussels, Antwerp, Paris + rail-air integration                                           | ⭐⭐⭐⭐⭐          |
| **22** | [Dutch Government – Aviation Policy](https://www.rijksoverheid.nl/themas/verkeer-en-vervoer/luchtvaart/ontwikkeling-luchtvaart?utm_source=chatgpt.com)              | **Bối cảnh chính sách**                       | Aviation Policy 2020–2050, connectivity, noise, sustainability, environment                          | ⭐⭐⭐⭐           |
| **23** | [Schiphol Airport History](https://www.schiphol.nl/en/you-and-schiphol/airport-history/?utm_source=chatgpt.com)                                                     | **Lịch sử phát triển**                        | Các mốc phát triển AirportCity, terminal, commercial development                                     | ⭐⭐⭐⭐           |
| **24** | [Schiphol – Airport of the Future](https://www.schiphol.nl/en/projects/all-schiphol-projects/we-re-building-the-airport-of-the-future/?utm_source=chatgpt.com)      | **Quy hoạch tương lai / đầu tư**              | Master Plan, terminal, infrastructure, future development                                            | ⭐⭐⭐⭐⭐          |
