case_id,idx,priority,anchor,url,purpose,target_fields,origin,discovered_at,kind,crawl_status,http_status,chars,text_file,accessed_at
shanghai_hongqiao,,5,Overview – Shanghai Hongqiao Intl CBD (official),https://en.shhqcbd.gov.cn/overview.html,"Lấy tổng quan chính thức: diện tích 151,4 km², mô hình quy hoạch ""1+4"", định vị 4 phân khu và website chính thức của khu.",case_name;aerotropolis;country;airport_name;reference_city;official_website;area_km2;positioning;planning_concept;cornerstones;subzones;vision_label;vision_qualities,llm,2026-08-19T16:12:07+0700,,chưa crawl,,,,
shanghai_hongqiao,,5,Overview of Shanghai Hongqiao International CBD,http://en.shhqcbd.gov.cn/2024-05/24/c_990100.htm,"Lấy diện tích chi tiết từng phân khu (Nam/Đông/Tây/Bắc Hongqiao), định vị thương mại – hội chợ và vai trò hub giao thông tổng hợp.",area_km2;subzones;positioning;location_desc;connectivity_desc;connection_modes;development_context,llm,2026-08-19T16:12:07+0700,,chưa crawl,,,,
shanghai_hongqiao,,5,Development plan for Hongqiao Intl CBD and surrounding areas,http://en.shhqcbd.gov.cn/2025-09/12/c_1125212.htm,"Lấy quy hoạch tổng thể mới (535 km², ""một lõi – hai trục – bốn khu – năm vành đai xanh""), mục tiêu 2035 và chỉ tiêu tiếp cận metro 600 m.",planning_concept;subzones;cornerstones;vision_label;vision_qualities;sustainability;positioning;metro_lines,llm,2026-08-19T16:12:07+0700,,chưa crawl,,,,
shanghai_hongqiao,,5,Hongqiao transportation hub becomes the world's busiest,https://en.shhqcbd.gov.cn/2026-03/19/c_1170683.htm,"Lấy số liệu kết nối đa phương thức: 422 triệu lượt khách qua hub, 50 triệu khách sân bay 2025, 155 triệu khách ga HSR, mạng lưới HSR 6 hướng.",passengers_million;connectivity_desc;connection_modes;rail_connections;metro_lines;cvp_convenience;experience_desc,llm,2026-08-19T16:12:07+0700,,chưa crawl,,,,
shanghai_hongqiao,,5,Hongqiao Intl CBD economic performance 2025,http://en.shhqcbd.gov.cn/2026-02/09/c_1160377.htm,"Lấy số doanh nghiệp (283 trụ sở cấp thành phố, >7.000 DN kinh tế số), kim ngạch ngoại thương và vốn FDI thực hiện của khu.",num_companies_realestate;num_companies_airport;total_investment_usd;development_context;economic_zone_name,llm,2026-08-19T16:12:07+0700,,chưa crawl,,,,
shanghai_hongqiao,,4,New Hongqiao Pinhui building set for operation,http://en.shhqcbd.gov.cn/2024-11/04/c_1043634.htm,"Lấy dữ liệu khu thương mại chuyên biệt Hongqiao Pinhui (Trung tâm trưng bày & giao dịch hàng nhập khẩu): diện tích 130.000 m², chức năng, thời điểm vận hành.",trade_park_name;trade_park_ha;commercial_re;cvp_product;highlight_amenities;brand_partners,llm,2026-08-19T16:12:07+0700,,chưa crawl,,,,
shanghai_hongqiao,,5,Shanghai Airport Authority – record passenger & cargo volumes,https://www.shanghaiairport.com/ensh/xwg/info_itemid_43826.html,"Lấy số liệu chính thức từ nhà khai thác sân bay: Hongqiao vượt 50 triệu khách 2025, tổng hàng hóa và cất/hạ cánh của hệ thống sân bay Thượng Hải.",passengers_million;cargo_million_tonnes;air_movements,llm,2026-08-19T16:12:07+0700,,chưa crawl,,,,
shanghai_hongqiao,,5,Shanghai Government – Hongqiao International CBD (National Development Zone),https://english.shanghai.gov.cn/en-NationalDevelopmentZone/20231211/ecf9d8dc8b544a29af71c9c5bb858676.html,"Lấy dữ liệu chính quyền thành phố: 86 km² lõi + 64,8 km² mở rộng, diện tích và ngành trọng điểm của từng phân khu.",area_km2;subzones;positioning;cornerstones;location_desc;investor_governance,llm,2026-08-19T16:12:07+0700,,chưa crawl,,,,
shanghai_hongqiao,,4,Invest Shanghai – Hongqiao Central Business District policies,https://www.investsh.org.cn/invest/policy/en/view/D3EFFB73-594E-4D3C-B4F2-FFD553A4365E,"Lấy chính sách ưu đãi và cơ chế giá/hỗ trợ: quỹ phát triển 2 tỷ RMB, trợ giá thuê văn phòng 3 năm, trợ cấp trụ sở, ngành khuyến khích.",cvp_price;cvp_price_note;sales_scheme;investor_governance;gov_led_ratio_pct;economic_zone_name;positioning;cvp_service,llm,2026-08-19T16:12:07+0700,,chưa crawl,,,,
shanghai_hongqiao,,4,Urban planning in Hongqiao CBD puts sustainability front and center,https://english.shanghai.gov.cn/en-ForumHighlights/20250529/4c7a3882ef034784ba78bc797b216059.html,"Lấy dữ liệu bền vững & thành phố thông minh: giảm 58% phát thải, 13 dự án/2,12 triệu m² đạt LEED, hệ thống cấp nhiệt–lạnh–điện tập trung, 24 hầm đi bộ và 13 cầu trên cao.",sustainability;smart_city;has_smart_city;cvp_experience;experience_desc;num_office_buildings;founded_year;planning_concept,llm,2026-08-19T16:12:07+0700,,chưa crawl,,,,
