case_id,case_name,aerotropolis,country,is_target,airport_name,reference_city,official_website,source_list,n_sources,n_crawled,n_pages,last_crawl
roissy_cdg,Roissy–CDG / Le Bourget Aerotropolis,Roissy–CDG / Le Bourget Aerotropolis,🇫🇷 Pháp,,Paris Charles de Gaulle (CDG),,,refer_file/_discovered/,16,16,16,2026-08-20T13:06:13.561757+00:00
ekurhuleni,Ekurhuleni Aerotropolis,Ekurhuleni Aerotropolis,🇿🇦 Nam Phi,,O.R. Tambo International (JNB),,,refer_file/_discovered/,16,15,15,2026-08-20T13:07:09.064866+00:00
delhi,Delhi Aerocity,Delhi Aerocity,🇮🇳 Ấn Độ,,Indira Gandhi International (DEL),,,refer_file/_discovered/,16,16,16,2026-08-20T13:07:32.418689+00:00
noida,Noida International (Jewar) Aerotropolis,Noida International (Jewar) Aerotropolis,🇮🇳 Ấn Độ,,Noida International Airport (DXN),,,refer_file/_discovered/,16,16,16,2026-08-20T13:04:19.225027+00:00
bengaluru,Bengaluru Airport City,Bengaluru Airport City,🇮🇳 Ấn Độ,,Kempegowda International (BLR),,,refer_file/_discovered/,16,16,16,2026-08-20T13:21:49.607570+00:00
hyderabad,Hyderabad Aerocity / GMR Airport City,Hyderabad Aerocity / GMR Airport City,🇮🇳 Ấn Độ,,Rajiv Gandhi International (HYD),,,refer_file/_discovered/,13,11,13,2026-08-20T13:20:09.441501+00:00
u_tapao,U-Tapao Aerotropolis / EEC,U-Tapao Aerotropolis / EEC,🇹🇭 Thái Lan,,U-Tapao International (UTP),,,refer_file/_discovered/,26,24,26,2026-08-21T07:44:42.276504+00:00
clark,Clark Aerotropolis / New Clark City,Clark Aerotropolis / New Clark City,🇵🇭 Philippines,,Clark International Airport (CRK),,,refer_file/_discovered/,23,20,22,2026-08-21T07:45:21.172712+00:00
soekarno_hatta,Soekarno-Hatta Airport City (Jakarta),Soekarno-Hatta Airport City (Jakarta),🇮🇩 Indonesia,,Soekarno-Hatta International (CGK),,,refer_file/_discovered/,16,13,13,2026-08-20T13:38:34.196032+00:00
long_thanh,Long Thành Airport City,Long Thành Airport City,🇻🇳 Việt Nam,,Long Thanh International Airport,,,refer_file/_discovered/,16,16,16,2026-08-20T13:30:20.187251+00:00
