Case: Singapore Changi Aerotropolis (Singapore) — sân bay Singapore Changi Airport (SIN)
Đặc thù: airport city vận hành bởi doanh nghiệp nhà nước Changi Airport Group; lõi thương mại là Jewel
gắn thẳng nhà ga, mở rộng về phía đông (Changi East 1.080 ha, T5 + đường băng 3), hậu phương là
Changi Business Park do JTC phát triển. Nguồn đã fetch xác minh 09/08/2026 — toàn bộ dòng dưới đã probe sống.

| #      | Website / nguồn                                                                                     | Tiêu chí trong benchmark                      | Có thể lấy dữ liệu gì?                                                                                                          | Mức độ ưu tiên |
| ------ | ----------------------------------------------------------------------------------------------------- | --------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------- | -------------- |
| **1**  | [Changi Airport Group – Trang doanh nghiệp](https://www.changiairport.com/en/corporate.html)           | **Định danh / định vị**                       | `official_website`, `positioning`, `lead_developer`: Changi Airport Group vận hành sân bay và bất động sản hàng không | ⭐⭐⭐⭐⭐          |
| **2**  | [Changi – Fact Sheet sân bay](https://www.changiairport.com/en/corporate/our-media-hub/newsroom/2026/fact-sheet-changi-airport.html) | **Số liệu headline (nguồn chuẩn)**            | `passengers_million`, `airlines`, `destinations`, `air_movements`: hơn **100 hãng bay**, **~150 thành phố**, lịch sử nhà ga T1–T4 | ⭐⭐⭐⭐⭐          |
| **3**  | [Changi – Chỉ số vận hành 2025](https://www.changiairport.com/en/corporate/our-media-hub/newsroom/2026/2025-operating-indicators.html) | **KPI năm gần nhất**                          | `passengers_million` **69,98 triệu (2025, +3,4%)**, `air_movements` **374.000 (+2,2%)**, `cargo_million_tonnes` **2,08 triệu tấn (+4,5%)**, 13 điểm đến mới | ⭐⭐⭐⭐⭐          |
| **4**  | [Changi – Traffic Statistics](https://www.changiairport.com/en/corporate/about-us/traffic-statistics.html) | **Chuỗi số liệu / đối chiếu**                 | Thống kê khách · hàng hoá · lượt bay theo tháng, dùng đối chiếu chéo KPI headline | ⭐⭐⭐⭐           |
| **5**  | [Changi – Our Story (lịch sử)](https://www.changiairport.com/en/corporate/about-us/the-changi-airport-story/our-story.html) | **Lịch sử phát triển**                        | `founded_year`, `airport_build_period`: khai trương 1981, các mốc T2/T3/T4, chuyển sang mô hình Changi Airport Group 2009 | ⭐⭐⭐⭐           |
| **6**  | [Changi – Future Developments](https://www.changiairport.com/en/corporate/about-us/future-developments.html) | **Quy hoạch tương lai / phân khu**            | `planning_concept`, `subzones`, `urban_build_period`: Changi East, Terminal 5, đường băng 3, khu công nghiệp hàng không | ⭐⭐⭐⭐⭐          |
| **7**  | [Changi – Fact Sheet Terminal 5](https://www.changiairport.com/en/corporate/our-media-hub/newsroom/2025/fact-sheet-changi-airport-terminal-5.html) | **Đầu tư / công suất mở rộng**                | `total_investment_usd`, công suất: T5 thêm **~50 triệu khách/năm**, mở giữa thập niên 2030, quy mô nhà ga, kết nối Changi East | ⭐⭐⭐⭐⭐          |
| **8**  | [Changi – Fact Sheet Jewel](https://www.changiairport.com/en/corporate/our-media-hub/newsroom/2026/jewel-changi-airport-fact-sheet.html) | **Trải nghiệm / tiện ích điểm nhấn**          | `highlight_amenities`, `cvp_experience`, `experience_desc`: Rain Vortex cao **40 m**, Forest Valley, **~260 gian hàng bán lẻ & ẩm thực**, Canopy Park | ⭐⭐⭐⭐⭐          |
| **9**  | [Wikipedia – Singapore Changi Airport](https://en.wikipedia.org/wiki/Singapore_Changi_Airport)         | **Đối chiếu KPI / hạ tầng**                   | Đối chiếu `passengers_million`, `cargo_million_tonnes`, `air_movements`, `airport_area_ha`; 4 nhà ga, 2 đường băng, diện tích sân bay | ⭐⭐⭐⭐⭐          |
| **10** | [Wikipedia – Changi East](https://en.wikipedia.org/wiki/Changi_East)                                   | **Quy mô mở rộng / phân khu**                 | `area_km2`: khu Changi East **1.080 ha**, nâng công suất toàn sân bay lên **135 triệu khách/năm**; T5, đường băng 3, khu hàng hoá & MRO | ⭐⭐⭐⭐⭐          |
| **11** | [Wikipedia – Jewel Changi Airport](https://en.wikipedia.org/wiki/Jewel_Changi_Airport)                 | **Sản phẩm thương mại / đối chiếu**           | `commercial_re`, `highlight_amenities`: tổng sàn ~135.700 m², vốn đầu tư ~1,7 tỷ SGD, hợp tác CapitaLand, mở 2019 | ⭐⭐⭐⭐           |
| **12** | [Wikipedia – Changi Business Park](https://en.wikipedia.org/wiki/Changi_Business_Park)                 | **BĐS thương mại / hậu phương**               | `commercial_re`, `num_companies_realestate`, `area_km2`: khu kinh doanh **~66 ha** do JTC phát triển, các doanh nghiệp thuê lớn | ⭐⭐⭐⭐⭐          |
| **13** | [JTC – Changi Business Park](https://www.jtc.gov.sg/find-space/changi-business-park)                   | **Chủ đầu tư hậu phương / sản phẩm thuê**     | `investor_governance`, `commercial_re`, `cvp_price`: JTC là cơ quan phát triển khu công nghiệp nhà nước; loại hình mặt bằng, tiện ích khu | ⭐⭐⭐⭐⭐          |
| **14** | [Wikipedia – Changi Airport MRT station](https://en.wikipedia.org/wiki/Changi_Airport_MRT_station)     | **Thuận tiện / Rail**                         | `rail_connections`, `metro_lines`, `cvp_convenience`: ga MRT nối tuyến East West Line, kết nối tới trung tâm Singapore, kế hoạch Thomson-East Coast Line | ⭐⭐⭐⭐⭐          |
| **15** | [Changi – Báo cáo thường niên & dữ liệu](https://www.changiairport.com/en/corporate/our-media-hub/publications/reports.html) | **Tài chính / chiến lược**                    | `development_context`, `vision_label`: báo cáo thường niên, chiến lược tập đoàn, chỉ số bền vững | ⭐⭐⭐            |
