Case: Dubai South (UAE) — sân bay Al Maktoum International Airport (DWC)
Đặc thù: đại đô thị sân bay do nhà nước Dubai khởi xướng 2006 trên 145 km², tổ chức theo "district"
(Logistics · Aviation/MBRAH · Business · Residential · Golf · Expo City) quanh sân bay đang mở rộng
để thành sân bay lớn nhất thế giới. Nguồn đã fetch xác minh 09/08/2026 — toàn bộ dòng dưới đã probe sống.

| #      | Website / nguồn                                                                                     | Tiêu chí trong benchmark                      | Có thể lấy dữ liệu gì?                                                                                                          | Mức độ ưu tiên |
| ------ | ----------------------------------------------------------------------------------------------------- | --------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------- | -------------- |
| **1**  | [Dubai South – Trang chủ chính thức](https://www.dubaisouth.ae/en)                                     | **Định vị / tổng quan**                       | `positioning`, `planning_concept`, `official_website`: định vị "largest single urban master development", các trụ aviation · logistics · real estate | ⭐⭐⭐⭐⭐          |
| **2**  | [Dubai South – Work (tổng quan khu chức năng)](https://www.dubaisouth.ae/en/work)                      | **Phân khu chức năng**                        | `subzones`, `commercial_re`: điều hướng tới Freezone, Logistics District, MBR Aerospace Hub, Commercial Property | ⭐⭐⭐⭐⭐          |
| **3**  | [Dubai South – Logistics District](https://www.dubaisouth.ae/en/work/logistics)                        | **Logistics / phân khu**                      | `logistics_park_ha`, `cvp_product`: Logistics District ~18 km², EZDubai (hub thương mại điện tử ~920.000 m²), kết nối air–sea–land tới cảng Jebel Ali | ⭐⭐⭐⭐⭐          |
| **4**  | [Dubai South – MBR Aerospace Hub](https://www.dubaisouth.ae/en/work/mbrah)                             | **Phân khu hàng không / MRO**                 | `subzones`, `commercial_re`: khu tự do chuyên hàng không ~7 km², MRO, nhà ga VIP, Emirates Flight Training Academy | ⭐⭐⭐⭐⭐          |
| **5**  | [Dubai South – Free Zone](https://www.dubaisouth.ae/en/work/freezone)                                  | **Đặc khu kinh tế / ưu đãi**                  | `economic_zone_name`, `cvp_service`: khu tự do DWC, sở hữu 100% nước ngoài, thủ tục cấp phép, ưu đãi thuế | ⭐⭐⭐⭐⭐          |
| **6**  | [Dubai South – Commercial Property](https://www.dubaisouth.ae/en/work/commercial-property)             | **Sản phẩm BĐS thương mại / giá**             | `commercial_re`, `cvp_price`: văn phòng cho thuê, business centre, kho, đất thuê; mặt bằng giá cạnh tranh | ⭐⭐⭐⭐           |
| **7**  | [Dubai South – Live (khu dân cư)](https://www.dubaisouth.ae/en/live)                                   | **Sản phẩm nhà ở**                            | `residential_product_desc`, `basic_amenities`: The Pulse, Residential District, nhà ở vừa túi tiền để mua/thuê, trường học, công viên | ⭐⭐⭐⭐⭐          |
| **8**  | [Dubai South – Thrive (tiện ích & cộng đồng)](https://www.dubaisouth.ae/en/thrive)                     | **Tiện ích / trải nghiệm**                    | `basic_amenities`, `highlight_amenities`, `cvp_experience`: tiện ích cộng đồng, thể thao, bán lẻ, không gian mở | ⭐⭐⭐⭐           |
| **9**  | [Dubai South – Ban lãnh đạo](https://www.dubaisouth.ae/en/our-leadership)                              | **Chủ đầu tư / quản trị**                     | `investor_governance`, `lead_developer`: cơ cấu lãnh đạo Dubai South, vai trò nhà nước Dubai | ⭐⭐⭐⭐⭐          |
| **10** | [Dubai South – Business Setup](https://www.dubaisouth.ae/en/business-setup)                            | **Dịch vụ nhà đầu tư**                        | `cvp_service`: quy trình lập doanh nghiệp, giấy phép, dịch vụ một cửa | ⭐⭐⭐            |
| **11** | [Dubai South – Tổng kết 2025: thu hút 653 doanh nghiệp](https://www.dubaisouth.ae/en/newsroom/dubai-south-concludes-a-strong-2025-attracts-653-new-companies) | **Quy mô doanh nghiệp / tăng trưởng**         | `num_companies_realestate`, `development_context`: 653 doanh nghiệp mới trong 2025, tổng **hơn 4.200 doanh nghiệp** đang hoạt động | ⭐⭐⭐⭐⭐          |
| **12** | [Wikipedia – Dubai South](https://en.wikipedia.org/wiki/Dubai_South)                                   | **Quy mô / phân khu / lịch sử**               | `area_km2` **145 km²**, `founded_year` 2006 (khởi xướng), 8 district: Logistics · Aviation · Business · Residential · Commercial · Humanitarian · Exhibition · Golf | ⭐⭐⭐⭐⭐          |
| **13** | [Wikipedia – Al Maktoum International Airport](https://en.wikipedia.org/wiki/Al_Maktoum_International_Airport) | **KPI sân bay / công suất / đầu tư**          | `passengers_million`, `cargo_million_tonnes`, `airport_area_ha`, `total_investment_usd`: công suất mục tiêu **260 triệu khách/năm**, mở rộng ~**35 tỷ USD**, 5 đường băng, khai trương 2010 | ⭐⭐⭐⭐⭐          |
| **14** | [Wikipedia – Expo City Dubai](https://en.wikipedia.org/wiki/Expo_City_Dubai)                            | **Phân khu điểm nhấn**                        | `subzones`, `highlight_amenities`: Expo City 4,38 km² kế thừa Expo 2020, thành phố 15 phút, Al Wasl Plaza, Terra/Alif | ⭐⭐⭐⭐           |
| **15** | [Wikipedia – Route 2020 (metro tới Expo/Dubai South)](https://en.wikipedia.org/wiki/Route_2020)        | **Thuận tiện / Rail**                         | `rail_connections`, `metro_lines`, `cvp_convenience`: nhánh metro **15 km, 7 ga**, nối Nakheel Harbour tới Expo, khai trương 01/01/2021 | ⭐⭐⭐⭐⭐          |
