Case: Incheon Aerotropolis / IFEZ (Hàn Quốc) — sân bay Incheon International Airport (ICN)
Đặc thù: aerotropolis "hai lõi" — Air-City trong ranh giới sân bay (IIAC vận hành) + IFEZ ba phân khu
Songdo / Yeongjong / Cheongna (IFEZ Authority quản trị). Nguồn dưới đây đã fetch xác minh 09/08/2026.

| #      | Website / nguồn                                                                                                             | Tiêu chí trong benchmark                      | Có thể lấy dữ liệu gì?                                                                                                          | Mức độ ưu tiên |
| ------ | --------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------- | -------------- |
| **1**  | [Incheon Airport – Development of a Complex City (Air City)](https://www.airport.kr/co_en/4389/subview.do)                  | **Định vị / quy hoạch / phân khu**            | `positioning`, `planning_concept`, `subzones`: IBC-I (KRW 666 tỷ giai đoạn 1; KRW 2,2 nghìn tỷ giai đoạn 2), IBC-II 161.038 ㎡, IBC-III 4.367.000 ㎡, sân golf 72 hố 3.695.000 ㎡, MRO, Airport Logistics Complex | ⭐⭐⭐⭐⭐          |
| **2**  | [Incheon Airport – Business Hub / Airport Economic Zone](https://www.airport.kr/co_en/4387/subview.do)                      | **Mô hình Aerotropolis / cornerstones**       | `cornerstones`: 4 trụ Business·R&D / Tourism·Logistics / Advanced Industry / Aviation Support; Direct & Hinterland Economic Zone; dự báo 2030 doanh thu KRW 9,1 nghìn tỷ, lan toả KRW 15,3 nghìn tỷ | ⭐⭐⭐⭐⭐          |
| **3**  | [Incheon Airport – At a Glance](https://www.airport.kr/co_en/4189/subview.do)                                              | **Số liệu headline (nguồn chuẩn)**            | `passengers_million` 70 triệu, `cargo_million_tonnes` 2,95 triệu tấn, `air_movements` 358.000, `destinations` 178 thành phố / 54 quốc gia, `airlines` 100 (lịch bay 10/2024) | ⭐⭐⭐⭐⭐          |
| **4**  | [Incheon Airport – Aviation Statistics](https://www.airport.kr/co_en/4272/subview.do)                                      | **Số liệu chi tiết / chuỗi thời gian**        | Thống kê theo tháng·ngày·hãng·khu vực, tách khách transfer (cho `transfer_pct`), cargo transship, tải Excel; mẫu 7/2026: 37.221 chuyến · 6.564.738 khách | ⭐⭐⭐⭐⭐          |
| **5**  | [Incheon Airport – Vision](https://www.airport.kr/co_en/4183/subview.do)                                                   | **Tầm nhìn / định hướng**                     | `vision_label`, `vision_qualities`: "Beyond an Airport, Changing the World"; giá trị cốt lõi Challenge·Cooperation·Creativity·Integrity; 6 mục tiêu chiến lược; Green & Hydrogen Airport | ⭐⭐⭐⭐⭐          |
| **6**  | [Incheon Airport – History](https://www.airport.kr/co_en/4184/subview.do)                                                  | **Lịch sử phát triển**                        | `founded_year`: Luật IIAC ban hành 26/01/1999, sân bay khai trương 29/03/2001 (kỷ niệm 20 năm 2021); mốc đường băng 4 (6/2021) | ⭐⭐⭐⭐           |
| **7**  | [Incheon Airport – Logistics / Free Trade Area](https://www.airport.kr/co_en/4333/subview.do)                              | **Logistics / khu phi thuế / phân khu**       | `logistics_park_ha`: Airport Logistics Complex 2.093.000 ㎡ (2005) + 922.000 ㎡ (2007) + 326.000 ㎡ (2020); 35 công ty logistics; 8 nhà ga hàng hoá; 38% cargo transship | ⭐⭐⭐⭐⭐          |
| **8**  | [Incheon Airport – ESG Management](https://www.airport.kr/co_en/4211/subview.do)                                           | **Bền vững**                                  | `sustainability`: 100% năng lượng tái tạo đến 2040, RE100, Green Mobility, Low-Carbon Eco-Friendly Airport; mục tiêu 120.000 việc làm mới đến 2030 | ⭐⭐⭐⭐⭐          |
| **9**  | [IFEZ – Investment Zones (Songdo / Yeongjong / Cheongna)](https://www.ifez.go.kr/world/content/view.do?sn=499)              | **Phân khu / quy mô / ngành mục tiêu**        | `subzones`, `area_km2`: Songdo 53,36 ㎢ (21.544,2 tỷ won, Business·IT·BT), Yeongjong 51,18 ㎢ (13.319,0 tỷ won, logistics·tourism, Sky City, Midan City), Cheongna 17,80 ㎢ (6.589,5 tỷ won, finance·leisure, robot theme park); tổng 122,34 ㎢, dân số quy hoạch 543.653, kỳ 2003–2030 | ⭐⭐⭐⭐⭐          |
