Case: Taoyuan Aerotropolis (Đài Loan) — sân bay Taiwan Taoyuan International Airport (TPE)
Đặc thù: aerotropolis quy hoạch tập trung, chia "lòng đỏ" (MOTC/CAA: đường băng + khu phi thuế) và
"lòng trắng" (Chính quyền TP Đào Viên: khu công nghiệp chuyên đề + hành lang ga MRT sân bay).
Nguồn đã fetch xác minh 09/08/2026. Ghi chú: taoyuanairport.com.tw là JS-rendered, cần Playwright (OK).
taoyuan-aerotropolis.com và topics.amcham.com.tw chặn 403 ở tầng CDN, kể cả Playwright/--headful — đã
thay bằng nguồn cùng nội dung trên sdgs.tycg.gov.tw và english.ey.gov.tw (dòng 1 và 18).

| #      | Website / nguồn                                                                                                       | Tiêu chí trong benchmark                      | Có thể lấy dữ liệu gì?                                                                                                          | Mức độ ưu tiên |
| ------ | ----------------------------------------------------------------------------------------------------------------------- | --------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------- | -------------- |
| **1**  | [Taoyuan City Gov (SDGs) – Phỏng vấn chuyên sâu dự án Aerotropolis](https://sdgs.tycg.gov.tw/en/News_Content.aspx?n=21388&s=1412467) | **Định vị / quy hoạch / phân khu**            | `positioning`, `planning_concept`, `subzones`: bài phỏng vấn cơ quan chủ trì — quy hoạch tổng thể, tiến độ, khu công nghiệp chuyên đề, tái định cư, nguyên tắc "ba thấp một cao" | ⭐⭐⭐⭐⭐          |
| **2**  | [Taoyuan City Gov (SDGs) – Aerotropolis Development Project](https://sdgs.tycg.gov.tw/en/News_Content.aspx?n=21387&s=1409605) | **Quy mô / quy hoạch / bền vững**             | `area_km2`, `subzones`, `sustainability`: tổng quy hoạch đô thị **4.564 ha** (quận Dayuan & Luzhu); CAA phụ trách 1.756 ha (giai đoạn 1 của TP 1.190 ha + khu căn cứ hải quân 566 ha); đường 197 km; 5/12 hồ điều tiết 1,47 triệu tấn; 704.000 tấn vật liệu tái chế; 13.600 đèn thông minh giảm 11.000 tấn CO₂/năm; BIM·GIS·IoT | ⭐⭐⭐⭐⭐          |
| **3**  | [Taoyuan Airport – Trang chủ TIAC (EN)](https://www.taoyuanairport.com.tw/main_en)                                       | **Định danh / cổng số liệu**                  | `official_website`, điều hướng tới Operational Statistics, Terminal 3, hãng bay, dịch vụ (JS-rendered → cần Playwright)          | ⭐⭐⭐⭐⭐          |
| **4**  | [Taoyuan Airport – Passenger Volume](https://www.taoyuanairport.com.tw/passengervolume?lang=en)                          | **Số liệu headline (nguồn chuẩn)**            | `passengers_million`, `transfer_pct`: bảng lượng khách theo tháng/năm, tách quốc tế·nội địa·transit (JS-rendered)                | ⭐⭐⭐⭐⭐          |
| **5**  | [Taoyuan Airport – Cargo Statistics](https://www.taoyuanairport.com.tw/cargostatistics?lang=en)                          | **Số liệu hàng hoá**                          | `cargo_million_tonnes`: sản lượng hàng hoá theo tháng/năm, hàng chuyển tải, bưu kiện (JS-rendered)                               | ⭐⭐⭐⭐⭐          |
| **6**  | [Taoyuan Airport – Terminal 3 & Major Construction](https://www.taoyuanairport.com.tw/terminal3?lang=en)                 | **Đầu tư / hạ tầng tương lai**                | `planning_concept`, công suất mở rộng: nhà ga T3 (thiết kế Rogers Stirk Harbour + Partners), đường băng 3, Skytrain nối T3, tiến độ & vốn (JS-rendered) | ⭐⭐⭐⭐⭐          |
| **7**  | [Wikipedia – Taoyuan Aerotropolis](https://en.wikipedia.org/wiki/Taoyuan_Aerotropolis)                                   | **Quy mô / phân khu / tác động kinh tế**      | `area_km2` **4.500 ha**; giai đoạn 1 ~2.600 ha (422 ha công nghiệp, 120 ha khu phi thuế); thu hồi đất tới 3.200 ha, di dời 40.000+ dân; `jobs_created` 200.000–300.000; doanh thu năm mục tiêu NT$2,3 nghìn tỷ; công suất khách 40→60 triệu; 5 nguyên tắc phát triển của thị trưởng | ⭐⭐⭐⭐⭐          |
| **8**  | [Wikipedia – Taoyuan International Airport](https://en.wikipedia.org/wiki/Taoyuan_International_Airport)                 | **Đối chiếu KPI / lịch sử**                   | `founded_year` 1979 (đổi tên 2006); 2025: **47.795.969 khách** (+6,40%), **2.499.898,5 tấn** hàng (+10,08%), **262.217 lượt bay** (+5,77%); T1 1979 · T2 2000 · T3 công suất 45 triệu → tổng 82 triệu | ⭐⭐⭐⭐⭐          |
| **9**  | [Executive Yuan – Taoyuan Aerotropolis, hạ tầng lớn nhất từ thập niên 1970](https://english.ey.gov.tw/Page/61BF20C3E89B856/7d0b8333-f713-4d3d-a7c6-9fc60d7b28f9) | **Bối cảnh chính sách / tổng mức đầu tư**     | `total_investment_usd`, `development_context`: **NT$500 tỷ (~17 tỷ USD)** vốn dự kiến; sản lượng kinh tế **NT$2,3 nghìn tỷ (~78 tỷ USD)**; **300.000+ việc làm** vùng Đài Bắc mở rộng; gắn với Free Economic Pilot Zones; định vị "gateway capital" | ⭐⭐⭐⭐⭐          |
| **10** | [CAA MOTC – Taoyuan Aviation Free Trade Zone](https://www.caa.gov.tw/Article.aspx?a=528&lang=2)                          | **Khu phi thuế / logistics**                  | `logistics_park_ha` **45 ha**; 3 phân khu Air Cargo Terminal · International Logistics Center · Value-Added Park; vận hành bởi Far Glory (nhượng quyền 50 năm); khai thác từ 01/01/2006; Q1/2026 có **34 doanh nghiệp FTZ**, tỷ lệ lấp đầy Value-Added Zone **95,91%** | ⭐⭐⭐⭐⭐          |
